SAMPLE_ID,식품명,식품상세분류,1회제공량,내용량_단위,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),총당류(g),총 식이섬유(g),총 아미노산(mg),콜레스테롤(mg),총 포화 지방산(g),총 불포화지방산(g),트랜스 지방산(g),출처,발행기관
R000011-ZZ-AVG,"기장, 찰기장, 이백찰, 도정, 생것",곡류 및 그 제품,100,g,373,11.2,13.72,4.03,69.49,0.61,4.7,"10,497",0,0.53,2.86,0,농진청('19),국립농업과학원
R000012-ZZ-AVG,"기장, 찰기장, 한라찰, 도정, 생것",곡류 및 그 제품,100,g,373,11.3,12.80,4.35,69.78,0.61,4.7,"9,782",0,0.59,3.37,0,농진청('19),국립농업과학원
R000013-ZZ-AVG,"기장, 찰기장, 황실찰, 도정, 생것",곡류 및 그 제품,100,g,368,11.5,15.55,3.62,67.42,0.61,4.7,"12,148",0,0.48,2.79,0,농진청('19),국립농업과학원
R000014-ZZ-AVG,"메밀, 도정, 생것",곡류 및 그 제품,100,g,363,13.1,13.64,3.38,67.84,0.30,6.3,"12,685",0,0.71,2.52,0,농진청('14),국립농업과학원
R000015-ZZ-AVG,"메밀, 도정, 가루",곡류 및 그 제품,100,g,374,10.5,12.96,3.29,71.36,0.30,8.5,"11,830",0,0.70,2.45,0,농진청('14),국립농업과학원
R000016-ZZ-AVG,"메밀 국수, 생것",곡류 및 그 제품,100,g,291,28.8,7.59,0.96,61.14,0,1.9,"7,232",0,0.27,0.65,0,농진청('14),국립농업과학원
R000017-ZZ-AVG,"메밀 국수, 생것, 삶은것",곡류 및 그 제품,100,g,124,70.1,3.54,0.44,25.73,0,1.7,"3,313",0,0.13,0.29,0,농진청('14),국립농업과학원
R000018-ZZ-AVG,"메밀 국수, 말린것",곡류 및 그 제품,100,g,372,8.3,13.58,1.27,74.41,2.77,4.6,"12,792",0,0.38,0.84,0,농진청('14),국립농업과학원
R000019-ZZ-AVG,"메밀 국수, 말린것, 삶은것",곡류 및 그 제품,100,g,114,72.4,4.28,0.40,22.65,0,1.5,"3,993",0,0.12,0.26,0,농진청('14),국립농업과학원
R000020-ZZ-AVG,"메밀 냉면, 말린것",곡류 및 그 제품,100,g,360,12.1,10.74,1.44,73.66,0,3.2,"9,822",0,0.34,1.02,0.01,농진청('14),국립농업과학원
R000021-ZZ-AVG,"메밀 냉면, 말린것, 삶은것",곡류 및 그 제품,100,g,141,66.2,4.22,0.59,28.71,0,1.4,"3,878",0,0.14,0.42,0,농진청('14),국립농업과학원
R000022-ZZ-AVG,메밀묵,곡류 및 그 제품,100,g,58,85.6,0.86,0.23,12.80,0,1.7,738,0,0.06,0.16,0,농진청('14),국립농업과학원
R000023-ZZ-AVG,"메밀묵, 가루",곡류 및 그 제품,100,g,371,11.0,8.33,2.04,77.39,0.30,4.1,"7,259",0,0.45,1.55,0,농진청('14),국립농업과학원
R000024-ZZ-AVG,"멥쌀, 배아미, 생것",곡류 및 그 제품,100,g,343,14.9,6.5,2.0,75.8,0.6,1.3,-,0,0.55,1.22,-,JAPAN('20),국립농업과학원
R000025-ZZ-AVG,"멥쌀, 백미, 생것",곡류 및 그 제품,100,g,366,13.0,6.81,1.05,78.74,0.50,1.9,"5,132",0,0.30,0.52,0,대푯값,국립농업과학원
R000026-ZZ-AVG,"멥쌀, 백미, 고아미2호, 생것",곡류 및 그 제품,100,g,362,14.4,8.40,2.04,74.30,1.81,10.9,"6,564",0,0.65,1.32,0,농진청('20),국립농업과학원
R000027-ZZ-AVG,"멥쌀, 백미, 골든퀸3호, 생것",곡류 및 그 제품,100,g,354,15.6,6.07,0.67,77.23,0.03,0.9,"5,393",0,0.23,0.41,0,농진청('15),국립농업과학원
R000028-ZZ-AVG,"멥쌀, 백미, 금강1호, 생것",곡류 및 그 제품,100,g,369,12.4,6.69,1.10,79.46,0.82,-,"4,836",0,0.43,0.61,0,농진청('19),국립농업과학원
R000029-ZZ-AVG,"멥쌀, 백미, 남찬, 생것",곡류 및 그 제품,100,g,366,13.3,6.85,1.34,78.14,0.89,-,"4,921",0,0.29,0.42,0,농진청('19),국립농업과학원
R000030-ZZ-AVG,"멥쌀, 백미, 도담쌀, 생것",곡류 및 그 제품,100,g,360,14.5,6.97,1.14,76.91,0.31,3.7,"5,536",0,0.37,0.70,0.01,농진청('20),국립농업과학원
R000031-ZZ-AVG,"멥쌀, 백미, 미품, 생것",곡류 및 그 제품,100,g,361,14.1,7.77,0.81,76.89,0.18,2.4,"5,866",0,0.30,0.46,0.01,농진청('20),국립농업과학원
R000032-ZZ-AVG,"멥쌀, 백미, 보람찬, 생것",곡류 및 그 제품,100,g,370,12.7,7.16,1.53,78.36,0.46,-,"4,727",0,0.29,0.36,0,농진청('19),국립농업과학원
R000033-ZZ-AVG,"멥쌀, 백미, 삼광, 생것",곡류 및 그 제품,100,g,367,12.8,6.31,0.90,79.71,0.16,1.8,"4,017",0,0.27,0.45,0,농진청('20),국립농업과학원
R000034-ZZ-AVG,"멥쌀, 백미, 새일미, 생것",곡류 및 그 제품,100,g,366,13.0,6.92,1.04,78.57,0.15,3.0,"4,407",0,0.29,0.45,0,농진청('20),국립농업과학원
R000035-ZZ-AVG,"멥쌀, 백미, 새추청벼, 생것",곡류 및 그 제품,100,g,366,12.4,6.1,0.2,80.9,-,-,-,-,-,-,-,농진청('06),국립농업과학원
R000036-ZZ-AVG,"멥쌀, 백미, 설갱, 생것",곡류 및 그 제품,100,g,363,13.7,6.71,1.04,78.14,0.37,0.8,"5,154",0,0.29,0.60,0,농진청('20),국립농업과학원
R000037-ZZ-AVG,"멥쌀, 백미, 수라벼, 생것",곡류 및 그 제품,100,g,346,17.2,5.7,0.1,76.7,-,-,-,-,-,-,-,농진청('03),국립농업과학원
R000038-ZZ-AVG,"멥쌀, 백미, 신동진, 생것",곡류 및 그 제품,100,g,361,14.5,6.06,1.09,78.01,0.09,2.0,"4,587",0,0.30,0.40,0,농진청('20),국립농업과학원
R000039-ZZ-AVG,"멥쌀, 백미, 알찬미, 생것",곡류 및 그 제품,100,g,374,11.7,6.02,1.57,80.36,1.03,-,"4,103",0,0.34,0.58,0,농진청('19),국립농업과학원
R000040-ZZ-AVG,"멥쌀, 백미, 영호진미, 생것",곡류 및 그 제품,100,g,371,12.6,5.72,1.54,79.87,0.81,-,"3,468",0,0.34,0.51,0,농진청('19),국립농업과학원
R000041-ZZ-AVG,"멥쌀, 백미, 예찬, 생것",곡류 및 그 제품,100,g,363,13.4,6.60,0.75,78.78,0.76,-,"4,868",0,0.26,0.41,0,농진청('19),국립농업과학원
R000042-ZZ-AVG,"멥쌀, 백미, 오대, 생것",곡류 및 그 제품,100,g,371,11.7,7.38,0.93,79.46,0.47,1.8,"5,498",0,0.27,0.52,0,농진청('20),국립농업과학원
R000043-ZZ-AVG,"멥쌀, 백미, 운광, 생것",곡류 및 그 제품,100,g,365,13.3,6.20,0.99,79.10,0.22,-,"4,222",0,0.31,0.66,0.01,농진청('20),국립농업과학원
R000044-ZZ-AVG,"멥쌀, 백미, 일미벼, 생것",곡류 및 그 제품,100,g,372,11.5,7.7,1.0,79.3,-,-,-,-,-,-,-,농진청('99),국립농업과학원
R000045-ZZ-AVG,"멥쌀, 백미, 일품, 생것",곡류 및 그 제품,100,g,367,12.8,7.06,1.12,78.52,0.43,1.1,"5,925",0,0.36,0.69,0,농진청('20),국립농업과학원
R000046-ZZ-AVG,"멥쌀, 백미, 일품벼, 생것",곡류 및 그 제품,100,g,353,15.4,5.7,0.1,78.5,-,-,-,-,-,-,-,농진청('06),국립농업과학원
R000047-ZZ-AVG,"멥쌀, 백미, 추청벼, 생것",곡류 및 그 제품,100,g,373,10.8,6.7,0.6,81.4,-,5.7,-,-,-,-,-,농진청('11),국립농업과학원
R000048-ZZ-AVG,"멥쌀, 백미, 친들, 생것",곡류 및 그 제품,100,g,364,13.4,6.43,0.77,79.09,0.79,-,"4,067",0,0.29,0.45,0,농진청('19),국립농업과학원
R000049-ZZ-AVG,"멥쌀, 백미, 큰눈벼, 생것",곡류 및 그 제품,100,g,375,10.6,6.3,1.0,81.4,-,-,-,-,-,-,-,농진청('03),국립농업과학원
R000050-ZZ-AVG,"멥쌀, 백미, 통일벼, 생것",곡류 및 그 제품,100,g,375,10.3,8.3,0.6,80.3,-,-,-,-,-,-,-,농진청('93),국립농업과학원
R000051-ZZ-AVG,"멥쌀, 백미, 팔방미, 생것",곡류 및 그 제품,100,g,366,13.1,8.33,0.94,77.32,0.10,0.7,"5,013",0,0.27,0.56,0,농진청('20),국립농업과학원
R000052-ZZ-AVG,"멥쌀, 백미, 하이아미, 생것",곡류 및 그 제품,100,g,367,12.7,7.35,1.05,78.46,0.43,1.8,"5,952",0,0.31,0.73,0,농진청('20),국립농업과학원
R000053-ZZ-AVG,"멥쌀, 백미, 한가루, 생것",곡류 및 그 제품,100,g,373,11.4,7.11,1.05,80.03,1.42,-,"3,554",0,0.35,0.63,0,농진청('19),국립농업과학원
R000054-ZZ-AVG,"멥쌀, 백미, 한아름4호, 생것",곡류 및 그 제품,100,g,369,12.4,7.13,0.88,79.30,1.06,-,"5,112",0,0.31,0.51,0,농진청('19),국립농업과학원
R000055-ZZ-AVG,"멥쌀, 백미, 해담쌀, 생것",곡류 및 그 제품,100,g,371,11.7,6.65,0.93,80.24,1.17,-,"4,589",0,0.31,0.62,0,농진청('19),국립농업과학원
R000056-ZZ-AVG,"멥쌀, 백미, 해들, 생것",곡류 및 그 제품,100,g,365,13.4,7.33,1.34,77.39,0.38,2.7,"5,557",0,0.35,0.69,0,농진청('20),국립농업과학원
R000057-ZZ-AVG,"멥쌀, 백미, 해품, 생것",곡류 및 그 제품,100,g,362,13.6,8.23,0.56,77.30,0.09,0.5,"5,607",0,0.19,0.33,0,농진청('20),국립농업과학원
R000058-ZZ-AVG,"멥쌀, 백미, 향미벼, 생것",곡류 및 그 제품,100,g,368,12.0,7.0,0.6,79.9,-,-,-,-,-,-,-,농진청('97),국립농업과학원
R000059-ZZ-AVG,"멥쌀, 백미, 호품벼, 생것",곡류 및 그 제품,100,g,354,15.8,5.91,0.73,77.21,0.04,0.8,"5,642",0,0.25,0.45,0,농진청('15),국립농업과학원
R000060-ZZ-AVG,"멥쌀, 백미, 히토메보레, 생것",곡류 및 그 제품,100,g,364,12.8,6.5,0.3,80.0,-,4.6,-,-,-,-,-,농진청('11),국립농업과학원
R000061-ZZ-AVG,"멥쌀, 백미, 밭벼, 생것",곡류 및 그 제품,100,g,331,14.9,9.3,0.9,74.5,-0.3,0.5,"-9,000",0,-0.29,-0.52,-,JAPAN('20),국립농업과학원
R000062-ZZ-AVG,"멥쌀, 백미, 밥",곡류 및 그 제품,100,g,146,65.2,2.65,0.33,31.71,0.01,0.9,"1,797",0,0.12,0.15,0,농진청('20),국립농업과학원
R000063-ZZ-AVG,"멥쌀, 백미, 농림나1호, 밥",곡류 및 그 제품,100,g,213,49.0,2.2,0.1,48.5,-,-,-,-,-,-,-,농진청('09),국립농업과학원
R000064-ZZ-AVG,"멥쌀, 백미, 밭벼, 밥",곡류 및 그 제품,100,g,157,60.0,3.5,0.3,36.1,-0.1,0.3,"-3,233",0,-0.10,-0.17,-,JAPAN('20),국립농업과학원
R000065-ZZ-AVG,"멥쌀, 백미, 삼광, 밥",곡류 및 그 제품,100,g,146,65.4,2.52,0.33,31.71,0,0.9,"1,425",0,0.10,0.13,0,농진청('20),국립농업과학원
R000066-ZZ-AVG,"멥쌀, 백미, 새일미, 밥",곡류 및 그 제품,100,g,142,66.3,2.67,0.25,30.69,0,1.0,"1,812",0,0.10,0.11,0,농진청('20),국립농업과학원
R000067-ZZ-AVG,"멥쌀, 백미, 새추청벼, 밥",곡류 및 그 제품,100,g,153,63.5,2.5,0.1,33.8,-,-,-,-,-,-,-,농진청('06),국립농업과학원
R000068-ZZ-AVG,"멥쌀, 백미, 수라벼, 밥",곡류 및 그 제품,100,g,159,61.8,2.4,-,35.7,-,-,-,-,-,-,-,농진청('06),국립농업과학원
R000069-ZZ-AVG,"멥쌀, 백미, 신동진, 밥",곡류 및 그 제품,100,g,147,64.9,2.53,0.28,32.17,0,0.7,"1,705",0,0.12,0.12,0,농진청('20),국립농업과학원
R000070-ZZ-AVG,"멥쌀, 백미, 오대, 밥",곡류 및 그 제품,100,g,151,64.3,2.85,0.44,32.28,0.04,0.8,"2,245",0,0.15,0.23,0,농진청('20),국립농업과학원
R000071-ZZ-AVG,"멥쌀, 백미, 일품벼, 밥",곡류 및 그 제품,100,g,156,62.6,2.6,0.1,34.6,-,-,-,-,-,-,-,농진청('06),국립농업과학원
R000072-ZZ-AVG,"멥쌀, 백미, 추청벼, 밥",곡류 및 그 제품,100,g,151,63.8,2.4,-,33.7,-,-,-,-,-,-,-,농진청('06),국립농업과학원
R000073-ZZ-AVG,"멥쌀, 백미, 죽",곡류 및 그 제품,100,g,53,87.4,0.99,0.15,11.45,0,0,612,0,0.05,0.06,0,농진청('20),국립농업과학원
R000074-ZZ-AVG,"멥쌀, 백미, 삼광, 죽",곡류 및 그 제품,100,g,53,87.4,0.89,0.10,11.51,0,0,559,0,0.04,0.04,0,농진청('20),국립농업과학원
R000075-ZZ-AVG,"멥쌀, 백미, 새일미, 죽",곡류 및 그 제품,100,g,55,87.0,1.09,0.17,11.72,0,0,628,0,0.05,0.06,0,농진청('20),국립농업과학원
R000076-ZZ-AVG,"멥쌀, 백미, 신동진, 죽",곡류 및 그 제품,100,g,53,87.4,0.96,0.15,11.42,0,0,571,0,0.06,0.05,0,농진청('20),국립농업과학원
R000077-ZZ-AVG,"멥쌀, 백미, 오대, 죽",곡류 및 그 제품,100,g,52,87.6,1.02,0.18,11.16,0,0,690,0,0.06,0.08,0,농진청('20),국립농업과학원
R000078-ZZ-AVG,"멥쌀, 백미, 미음",곡류 및 그 제품,100,g,19,-95.0,-0.3,0,-4.7,0,(Tr),-278.2,0,0,0,-,JAPAN('20),국립농업과학원
R000079-ZZ-AVG,"멥쌀, 백미, 가루",곡류 및 그 제품,100,g,343,14.0,6.2,0.9,78.5,0.1,0.6,"6,235",0,-0.29,-0.52,-,JAPAN('20),국립농업과학원
R000080-ZZ-AVG,"멥쌀, 칠분도미, 생것",곡류 및 그 제품,100,g,348,14.9,6.3,1.5,76.6,0.3,0.9,"-6,229",0,-0.40,-0.92,-,JAPAN('20),국립농업과학원
R000081-ZZ-AVG,"멥쌀, 칠분도미, 농림나1호, 생것",곡류 및 그 제품,100,g,370,12.4,5.6,1.9,79.2,-,-,-,-,-,-,-,농진청('09),국립농업과학원
R000082-ZZ-AVG,"멥쌀, 칠분도미, 밭벼, 생것",곡류 및 그 제품,100,g,359,14.9,9.5,1.5,73.4,-0.3,0.9,"-9,370",0,-0.40,-0.92,-,JAPAN('20),국립농업과학원
R000083-ZZ-AVG,"멥쌀, 칠분도미, 밥",곡류 및 그 제품,100,g,160,60.0,2.6,0.5,36.7,0.2,0.5,"-2,449",0,-0.13,-0.31,-,JAPAN('20),국립농업과학원
R000084-ZZ-AVG,"멥쌀, 칠분도미, 농림나1호, 밥",곡류 및 그 제품,100,g,205,50.6,2.5,0.2,46.2,-,-,-,-,-,-,-,농진청('09),국립농업과학원
R000085-ZZ-AVG,"멥쌀, 칠분도미, 밭벼, 밥",곡류 및 그 제품,100,g,155,60.0,3.6,0.5,35.7,-0.2,0.5,"-3,375",0,-0.13,-0.31,-,JAPAN('20),국립농업과학원
R000086-ZZ-AVG,"멥쌀, 칠분도미, 죽",곡류 및 그 제품,100,g,68,-83.0,-1.1,-0.2,-15.6,-0.1,-0.2,"-1,036",0,-0.05,-0.12,-,JAPAN('20),국립농업과학원
R000087-ZZ-AVG,"멥쌀, 칠분도미, 미음",곡류 및 그 제품,100,g,20,-95.0,-0.3,-0.1,-4.6,0,(Tr),-283.4,0,-0.03,-0.06,-,JAPAN('20),국립농업과학원
R000088-ZZ-AVG,"멥쌀, 현미, 생것",곡류 및 그 제품,100,g,357,13.3,7.33,2.23,75.92,1.18,3.9,"5,593",0,0.55,1.49,0,대푯값,국립농업과학원
R000089-ZZ-AVG,"멥쌀, 현미, 고아미2호, 생것",곡류 및 그 제품,100,g,359,14.1,9.17,4.11,71.00,3.17,15.3,"5,070",0,1.13,2.70,0.01,농진청('20),국립농업과학원
R000090-ZZ-AVG,"멥쌀, 현미, 골든퀸3호, 생것",곡류 및 그 제품,100,g,357,13.3,6.16,2.01,77.26,0.50,3.8,"6,106",0,0.48,1.44,0,농진청('15),국립농업과학원
R000091-ZZ-AVG,"멥쌀, 현미, 금강1호, 생것",곡류 및 그 제품,100,g,365,12.0,7.08,2.72,77.11,0.57,-,"4,378",0,0.70,1.57,0,농진청('19),국립농업과학원
R000092-ZZ-AVG,"멥쌀, 현미, 남찬, 생것",곡류 및 그 제품,100,g,355,14.1,7.25,2.31,75.26,0.89,-,"5,098",0,0.51,1.31,0,농진청('19),국립농업과학원
R000093-ZZ-AVG,"멥쌀, 현미, 농림나1호, 생것",곡류 및 그 제품,100,g,371,12.9,5.8,4.8,75.3,-,-,-,-,-,-,-,농진청('09),국립농업과학원
R000094-ZZ-AVG,"멥쌀, 현미, 도담쌀, 생것",곡류 및 그 제품,100,g,356,14.0,7.73,2.85,74.15,1.26,9.7,"5,500",0,0.70,1.81,0.01,농진청('20),국립농업과학원
R000095-ZZ-AVG,"멥쌀, 현미, 미품, 생것",곡류 및 그 제품,100,g,348,14.9,8.41,2.07,73.30,0.83,3.7,"6,228",0,0.51,1.39,0.01,농진청('20),국립농업과학원
R000096-ZZ-AVG,"멥쌀, 현미, 보람찬, 생것",곡류 및 그 제품,100,g,355,13.6,7.42,2.01,75.74,1.07,-,"4,214",0,0.57,1.43,0,농진청('19),국립농업과학원
R000097-ZZ-AVG,"멥쌀, 현미, 삼광, 생것",곡류 및 그 제품,100,g,358,12.9,6.88,2.00,76.98,0.92,3.0,"4,550",0,0.51,1.26,0.01,농진청('20),국립농업과학원
R000098-ZZ-AVG,"멥쌀, 현미, 새일미, 생것",곡류 및 그 제품,100,g,357,13.0,7.60,2.12,76.00,1.00,3.8,"4,942",0,0.52,1.49,0,농진청('20),국립농업과학원
R000099-ZZ-AVG,"멥쌀, 현미, 설갱, 생것",곡류 및 그 제품,100,g,356,13.5,7.53,2.34,75.36,1.30,4.7,"6,082",0,0.56,1.58,0,농진청('20),국립농업과학원
R000100-ZZ-AVG,"멥쌀, 현미, 신동진, 생것",곡류 및 그 제품,100,g,350,15.0,6.69,1.98,75.24,0.76,3.9,"4,833",0,0.51,1.34,0,농진청('20),국립농업과학원
R000101-ZZ-AVG,"멥쌀, 현미, 알찬미, 생것",곡류 및 그 제품,100,g,365,11.5,6.91,2.34,78.09,1.41,-,"3,981",0,0.59,1.54,0,농진청('19),국립농업과학원
R000102-ZZ-AVG,"멥쌀, 현미, 영호진미, 생것",곡류 및 그 제품,100,g,363,12.4,6.21,2.32,78.10,1.28,-,"4,342",0,0.58,1.46,0,농진청('19),국립농업과학원
R000103-ZZ-AVG,"멥쌀, 현미, 예찬, 생것",곡류 및 그 제품,100,g,356,13.8,7.23,2.47,75.25,1.81,-,"4,186",0,0.60,1.66,0,농진청('19),국립농업과학원
R000104-ZZ-AVG,"멥쌀, 현미, 오대, 생것",곡류 및 그 제품,100,g,363,11.7,8.07,2.31,76.53,1.27,5.1,"6,147",0,0.57,1.54,0.01,농진청('20),국립농업과학원
R000105-ZZ-AVG,"멥쌀, 현미, 운광, 생것",곡류 및 그 제품,100,g,355,13.9,6.52,2.28,75.94,1.12,3.7,"4,469",0,0.52,1.60,0.01,농진청('20),국립농업과학원
R000106-ZZ-AVG,"멥쌀, 현미, 일미벼, 생것",곡류 및 그 제품,100,g,354,12.5,9.0,1.0,76.2,-,-,-,-,-,-,-,농진청('99),국립농업과학원
R000107-ZZ-AVG,"멥쌀, 현미, 일품, 생것",곡류 및 그 제품,100,g,357,13.1,7.00,2.18,76.37,1.13,4.1,"6,290",0,0.52,1.46,0,농진청('20),국립농업과학원
R000108-ZZ-AVG,"멥쌀, 현미, 일품벼, 생것",곡류 및 그 제품,100,g,363,11.5,7.4,2.0,77.8,-,-,-,-,-,-,-,농진청('03),국립농업과학원
R000109-ZZ-AVG,"멥쌀, 현미, 추청벼, 생것",곡류 및 그 제품,100,g,362,12.7,6.4,2.7,76.9,-,-,-,-,-,-,-,농진청('99),국립농업과학원
R000110-ZZ-AVG,"멥쌀, 현미, 친들, 생것",곡류 및 그 제품,100,g,353,13.9,6.97,1.98,75.80,1.57,-,"4,670",0,0.50,1.24,0,농진청('19),국립농업과학원
R000111-ZZ-AVG,"멥쌀, 현미, 큰눈벼, 생것",곡류 및 그 제품,100,g,371,10.5,7.3,3.0,77.9,-,-,-,-,-,-,-,농진청('03),국립농업과학원
R000112-ZZ-AVG,"멥쌀, 현미, 통일벼, 생것",곡류 및 그 제품,100,g,362,11.1,8.9,1.6,77.2,-,-,-,-,-,-,-,농진청('94),국립농업과학원
R000113-ZZ-AVG,"멥쌀, 현미, 팔방미, 생것",곡류 및 그 제품,100,g,358,13.2,9.12,2.65,73.74,0.47,2.6,"7,134",0,0.59,1.66,0,농진청('20),국립농업과학원
R000114-ZZ-AVG,"멥쌀, 현미, 하이아미, 생것",곡류 및 그 제품,100,g,360,13.2,7.41,2.60,75.73,1.15,3.6,"6,345",0,0.65,1.91,0,농진청('20),국립농업과학원
R000115-ZZ-AVG,"멥쌀, 현미, 한가루, 생것",곡류 및 그 제품,100,g,361,12.5,7.92,2.20,76.38,2.15,-,"6,049",0,0.56,1.48,0,농진청('19),국립농업과학원
R000116-ZZ-AVG,"멥쌀, 현미, 한아름4호, 생것",곡류 및 그 제품,100,g,363,11.9,7.56,2.20,77.23,1.53,-,"4,738",0,0.61,1.55,0,농진청('19),국립농업과학원
R000117-ZZ-AVG,"멥쌀, 현미, 해담쌀, 생것",곡류 및 그 제품,100,g,366,11.3,7.42,2.44,77.58,1.68,-,"5,162",0,0.61,1.80,0,농진청('19),국립농업과학원
R000118-ZZ-AVG,"멥쌀, 현미, 해들, 생것",곡류 및 그 제품,100,g,356,13.1,8.06,2.34,74.99,1.24,4.5,"6,233",0,0.59,1.67,0.01,농진청('20),국립농업과학원
R000119-ZZ-AVG,"멥쌀, 현미, 해품, 생것",곡류 및 그 제품,100,g,349,14.5,8.71,1.88,73.53,0.86,4.0,"6,356",0,0.45,1.25,0.01,농진청('20),국립농업과학원
R000120-ZZ-AVG,"멥쌀, 현미, 호품벼, 생것",곡류 및 그 제품,100,g,343,16.8,6.30,1.94,73.94,0.33,3.5,"6,154",0,0.47,1.39,0,농진청('15),국립농업과학원
R000121-ZZ-AVG,"멥쌀, 현미, 발아현미, 생것",곡류 및 그 제품,100,g,371,10.3,7.0,2.3,79.4,-,-,-,-,-,-,-,농진청('02),국립농업과학원
R000122-ZZ-AVG,"멥쌀, 현미, 적진주, 생것",곡류 및 그 제품,100,g,360,12.5,7.47,2.48,76.01,1.81,5.7,"5,841",0,0.47,1.57,0.01,농진청('20),국립농업과학원
R000123-ZZ-AVG,"멥쌀, 현미, 흑미, 생것",곡류 및 그 제품,100,g,357,13.3,7.70,2.21,75.56,0.94,7.3,"5,614",0,0.50,1.53,0,농진청('20),국립농업과학원
R000124-ZZ-AVG,"멥쌀, 현미, 흑진미, 생것",곡류 및 그 제품,100,g,357,13.0,7.82,2.11,75.82,1.22,7.1,"5,986",0,0.50,1.35,0,농진청('20),국립농업과학원
R000125-ZZ-AVG,"멥쌀, 현미, 흑진주벼, 생것",곡류 및 그 제품,100,g,369,10.3,7.9,2.6,77.7,-,7.4,-,-,-,-,-,농진청('11),국립농업과학원
R000126-ZZ-AVG,"멥쌀, 현미, 밥",곡류 및 그 제품,100,g,166,59.6,3.47,0.96,35.34,0.40,2.2,"2,370",0,0.24,0.56,0,농진청('20),국립농업과학원
R000127-ZZ-AVG,"멥쌀, 현미, 농림나1호, 밥",곡류 및 그 제품,100,g,201,50.2,2.8,0.2,46.1,-,-,-,-,-,-,-,농진청('09),국립농업과학원
R000128-ZZ-AVG,"멥쌀, 현미, 밭벼, 밥",곡류 및 그 제품,100,g,156,60.0,4.1,1.0,34.3,-1.1,1.4,"-4,023",0,-0.23,-0.63,-,JAPAN('20),국립농업과학원
R000129-ZZ-AVG,"멥쌀, 현미, 삼광, 밥",곡류 및 그 제품,100,g,165,59.9,3.50,1.15,34.83,0.38,-,"2,234",0,0.24,0.57,0,농진청('20),국립농업과학원
R000130-ZZ-AVG,"멥쌀, 현미, 새일미, 밥",곡류 및 그 제품,100,g,172,58.1,3.43,1.08,36.67,0.41,1.7,"2,339",0,0.26,0.63,0,농진청('20),국립농업과학원
R000131-ZZ-AVG,"멥쌀, 현미, 신동진, 밥",곡류 및 그 제품,100,g,160,61.1,3.15,0.76,34.57,0.26,2.6,"2,363",0,0.22,0.51,0,농진청('20),국립농업과학원
R000132-ZZ-AVG,"멥쌀, 현미, 오대, 밥",곡류 및 그 제품,100,g,166,59.3,3.81,0.87,35.29,0.53,2.3,"2,546",0,0.23,0.55,0,농진청('20),국립농업과학원
R000133-ZZ-AVG,"멥쌀, 현미, 흑진미, 밥",곡류 및 그 제품,100,g,174,57.6,3.98,1.01,36.83,0.50,4.7,"3,080",0,0.25,0.64,0,농진청('20),국립농업과학원
